IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.210.65.1,80,80,false,HKG,Asia Pacific,Hong Kong,49,31.79
8.217.250.5,8880,8880,false,HKG,Asia Pacific,Hong Kong,47,31.03
8.217.145.40,2082,2082,false,HKG,Asia Pacific,Hong Kong,44,30.89
47.243.234.9,8080,8080,false,HKG,Asia Pacific,Hong Kong,43,30.77
8.217.147.230,8443,8443,true,HKG,Asia Pacific,Hong Kong,50,30.01
47.242.59.216,8443,8443,true,HKG,Asia Pacific,Hong Kong,75,29.55
8.217.123.243,2083,2083,true,HKG,Asia Pacific,Hong Kong,45,29.50
8.210.244.38,2053,2053,true,HKG,Asia Pacific,Hong Kong,83,29.24
47.242.17.250,2096,2096,true,HKG,Asia Pacific,Hong Kong,47,27.11
8.210.244.38,2087,2087,true,HKG,Asia Pacific,Hong Kong,81,27.09
8.217.145.40,2087,2087,true,HKG,Asia Pacific,Hong Kong,44,26.81
8.217.121.207,2083,2083,true,HKG,Asia Pacific,Hong Kong,46,24.46
8.218.204.128,8080,8080,false,HKG,Asia Pacific,Hong Kong,74,24.39
8.210.85.222,2053,2053,true,HKG,Asia Pacific,Hong Kong,45,23.85
47.242.7.162,2096,2096,true,HKG,Asia Pacific,Hong Kong,115,23.63
8.218.222.36,2095,2095,false,HKG,Asia Pacific,Hong Kong,113,23.26
47.243.51.171,2053,2053,true,HKG,Asia Pacific,Hong Kong,74,22.42
8.217.250.5,80,80,false,HKG,Asia Pacific,Hong Kong,47,21.96
47.243.51.171,2096,2096,true,HKG,Asia Pacific,Hong Kong,43,21.79
47.243.183.127,8443,8443,true,HKG,Asia Pacific,Hong Kong,108,21.79
47.242.17.250,2083,2083,true,HKG,Asia Pacific,Hong Kong,47,21.75
47.243.183.127,2096,2096,true,HKG,Asia Pacific,Hong Kong,48,21.71
47.242.59.216,2053,2053,true,HKG,Asia Pacific,Hong Kong,47,20.84
8.217.127.73,2087,2087,true,HKG,Asia Pacific,Hong Kong,44,20.73
8.217.127.73,2082,2082,false,HKG,Asia Pacific,Hong Kong,114,20.44
8.210.65.1,2052,2052,false,HKG,Asia Pacific,Hong Kong,83,20.17
47.243.173.187,2083,2083,true,HKG,Asia Pacific,Hong Kong,110,20.16
47.243.139.243,8880,8880,false,HKG,Asia Pacific,Hong Kong,46,19.84
47.243.139.243,80,80,false,HKG,Asia Pacific,Hong Kong,51,19.28
203.9.150.104,443,443,true,HKG,Asia Pacific,Hong Kong,148,18.55
8.217.127.73,2053,2053,true,HKG,Asia Pacific,Hong Kong,112,18.51
8.210.21.65,8880,8880,false,HKG,Asia Pacific,Hong Kong,52,18.47
47.238.35.50,2083,2083,true,HKG,Asia Pacific,Hong Kong,66,18.43
103.20.222.23,10189,443,true,HKG,Asia Pacific,Hong Kong,76,18.05
47.243.51.171,8080,8080,false,HKG,Asia Pacific,Hong Kong,44,17.94
8.210.107.246,2096,2096,true,HKG,Asia Pacific,Hong Kong,114,17.14
8.217.250.5,2052,2052,false,HKG,Asia Pacific,Hong Kong,102,16.73
47.242.59.216,2095,2095,false,HKG,Asia Pacific,Hong Kong,77,16.73
8.210.89.245,2053,2053,true,HKG,Asia Pacific,Hong Kong,83,16.52
8.218.222.36,2052,2052,false,HKG,Asia Pacific,Hong Kong,47,16.00
8.210.21.65,8080,8080,false,HKG,Asia Pacific,Hong Kong,65,15.79
