IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.218.22.210,2086,2086,false,HKG,Asia Pacific,Hong Kong,89,39.87
8.217.72.0,8880,8880,false,HKG,Asia Pacific,Hong Kong,45,39.62
8.217.149.28,2082,2082,false,HKG,Asia Pacific,Hong Kong,84,36.06
8.217.239.116,8080,8080,false,HKG,Asia Pacific,Hong Kong,64,35.22
47.243.42.219,2087,2087,true,HKG,Asia Pacific,Hong Kong,93,34.73
47.242.59.216,8880,8880,false,HKG,Asia Pacific,Hong Kong,92,34.69
8.210.21.65,2053,2053,true,HKG,Asia Pacific,Hong Kong,77,33.75
8.218.155.238,80,80,false,HKG,Asia Pacific,Hong Kong,94,33.62
47.242.107.109,2053,2053,true,HKG,Asia Pacific,Hong Kong,97,33.58
8.210.21.65,2096,2096,true,HKG,Asia Pacific,Hong Kong,92,32.59
8.210.66.190,2096,2096,true,HKG,Asia Pacific,Hong Kong,112,32.36
8.210.156.6,8880,8880,false,HKG,Asia Pacific,Hong Kong,103,31.80
8.210.34.188,2052,2052,false,HKG,Asia Pacific,Hong Kong,98,31.78
8.210.21.65,2086,2086,false,HKG,Asia Pacific,Hong Kong,45,31.08
47.243.203.119,80,80,false,HKG,Asia Pacific,Hong Kong,114,30.51
8.210.101.157,2083,2083,true,HKG,Asia Pacific,Hong Kong,110,30.08
8.217.164.10,2095,2095,false,HKG,Asia Pacific,Hong Kong,89,29.66
47.243.186.171,2053,2053,true,HKG,Asia Pacific,Hong Kong,56,29.37
8.218.143.10,2096,2096,true,HKG,Asia Pacific,Hong Kong,93,29.18
8.217.49.34,2086,2086,false,HKG,Asia Pacific,Hong Kong,55,29.13
8.217.127.73,2053,2053,true,HKG,Asia Pacific,Hong Kong,55,29.11
8.218.2.181,80,80,false,HKG,Asia Pacific,Hong Kong,84,29.11
8.218.53.110,2082,2082,false,HKG,Asia Pacific,Hong Kong,100,29.02
47.242.17.250,2096,2096,true,HKG,Asia Pacific,Hong Kong,116,28.92
47.243.107.148,2052,2052,false,HKG,Asia Pacific,Hong Kong,97,28.82
47.76.49.246,8080,8080,false,HKG,Asia Pacific,Hong Kong,111,28.72
47.242.36.78,2096,2096,true,HKG,Asia Pacific,Hong Kong,104,28.71
8.217.221.165,8880,8880,false,HKG,Asia Pacific,Hong Kong,44,28.68
47.243.139.85,8443,8443,true,HKG,Asia Pacific,Hong Kong,90,28.60
47.242.183.7,2053,2053,true,HKG,Asia Pacific,Hong Kong,75,28.23
47.242.42.153,2053,2053,true,HKG,Asia Pacific,Hong Kong,44,27.89
47.243.183.127,2053,2053,true,HKG,Asia Pacific,Hong Kong,68,27.84
8.217.123.243,2083,2083,true,HKG,Asia Pacific,Hong Kong,92,27.69
8.218.155.238,2082,2082,false,HKG,Asia Pacific,Hong Kong,88,27.53
8.210.42.171,2053,2053,true,HKG,Asia Pacific,Hong Kong,109,27.53
47.242.157.96,2052,2052,false,HKG,Asia Pacific,Hong Kong,101,27.41
8.210.39.96,2083,2083,true,HKG,Asia Pacific,Hong Kong,103,27.01
8.217.91.121,2086,2086,false,HKG,Asia Pacific,Hong Kong,112,26.97
8.210.175.109,2096,2096,true,HKG,Asia Pacific,Hong Kong,46,26.90
8.210.207.214,2083,2083,true,HKG,Asia Pacific,Hong Kong,112,26.77
8.210.55.134,2083,2083,true,HKG,Asia Pacific,Hong Kong,76,26.70
47.76.49.246,8880,8880,false,HKG,Asia Pacific,Hong Kong,67,26.61
8.218.188.129,80,80,false,HKG,Asia Pacific,Hong Kong,83,26.45
47.243.51.171,2096,2096,true,HKG,Asia Pacific,Hong Kong,109,26.29
47.242.119.104,2083,2083,true,HKG,Asia Pacific,Hong Kong,100,26.16
47.242.59.216,2083,2083,true,HKG,Asia Pacific,Hong Kong,116,26.07
8.217.164.10,8880,8880,false,HKG,Asia Pacific,Hong Kong,96,26.05
47.243.74.220,2087,2087,true,HKG,Asia Pacific,Hong Kong,55,25.94
47.76.227.128,2087,2087,true,HKG,Asia Pacific,Hong Kong,55,25.86
8.217.250.222,2052,2052,false,HKG,Asia Pacific,Hong Kong,84,25.84
8.217.232.246,2082,2082,false,HKG,Asia Pacific,Hong Kong,87,25.74
47.243.5.154,2083,2083,true,HKG,Asia Pacific,Hong Kong,110,25.73
47.242.176.237,80,80,false,HKG,Asia Pacific,Hong Kong,49,25.68
8.210.175.109,8880,8880,false,HKG,Asia Pacific,Hong Kong,77,25.52
8.218.126.53,2052,2052,false,HKG,Asia Pacific,Hong Kong,104,25.51
8.218.8.142,2086,2086,false,HKG,Asia Pacific,Hong Kong,99,25.41
47.243.42.219,2053,2053,true,HKG,Asia Pacific,Hong Kong,104,25.41
47.242.42.153,2096,2096,true,HKG,Asia Pacific,Hong Kong,55,25.30
8.217.250.222,8443,8443,true,HKG,Asia Pacific,Hong Kong,66,25.27
8.210.3.24,2095,2095,false,HKG,Asia Pacific,Hong Kong,74,25.26
47.243.139.243,8443,8443,true,HKG,Asia Pacific,Hong Kong,113,25.14
8.210.42.171,2096,2096,true,HKG,Asia Pacific,Hong Kong,45,25.10
8.217.193.25,2052,2052,false,HKG,Asia Pacific,Hong Kong,122,25.07
47.243.173.187,2052,2052,false,HKG,Asia Pacific,Hong Kong,67,24.86
47.243.91.58,2095,2095,false,HKG,Asia Pacific,Hong Kong,101,24.82
47.243.234.9,2096,2096,true,HKG,Asia Pacific,Hong Kong,89,24.45
8.218.126.53,2086,2086,false,HKG,Asia Pacific,Hong Kong,109,24.38
47.243.107.148,2082,2082,false,HKG,Asia Pacific,Hong Kong,75,24.25
8.218.3.12,2086,2086,false,HKG,Asia Pacific,Hong Kong,77,24.03
47.76.49.246,2082,2082,false,HKG,Asia Pacific,Hong Kong,75,24.00
8.210.66.190,2086,2086,false,HKG,Asia Pacific,Hong Kong,88,23.93
8.210.119.11,8880,8880,false,HKG,Asia Pacific,Hong Kong,76,23.86
8.218.142.253,2082,2082,false,HKG,Asia Pacific,Hong Kong,116,23.86
8.210.3.24,80,80,false,HKG,Asia Pacific,Hong Kong,113,23.78
8.210.39.96,2086,2086,false,HKG,Asia Pacific,Hong Kong,42,23.25
8.210.245.224,2087,2087,true,HKG,Asia Pacific,Hong Kong,90,23.21
47.243.91.58,2082,2082,false,HKG,Asia Pacific,Hong Kong,47,23.20
8.210.146.108,2096,2096,true,HKG,Asia Pacific,Hong Kong,74,23.15
8.210.3.24,2083,2083,true,HKG,Asia Pacific,Hong Kong,56,23.13
8.210.48.107,8443,8443,true,HKG,Asia Pacific,Hong Kong,90,23.13
47.243.27.217,2086,2086,false,HKG,Asia Pacific,Hong Kong,46,23.13
47.242.171.94,2096,2096,true,HKG,Asia Pacific,Hong Kong,92,23.08
47.242.252.237,2095,2095,false,HKG,Asia Pacific,Hong Kong,117,23.01
47.242.176.237,8443,8443,true,HKG,Asia Pacific,Hong Kong,55,22.96
8.218.48.92,2052,2052,false,HKG,Asia Pacific,Hong Kong,47,22.92
8.218.143.10,2087,2087,true,HKG,Asia Pacific,Hong Kong,79,22.86
47.76.192.24,2087,2087,true,HKG,Asia Pacific,Hong Kong,69,22.82
47.243.206.150,2096,2096,true,HKG,Asia Pacific,Hong Kong,74,22.82
47.243.18.199,8443,8443,true,HKG,Asia Pacific,Hong Kong,108,22.81
8.210.175.109,2087,2087,true,HKG,Asia Pacific,Hong Kong,95,22.73
47.238.35.50,2083,2083,true,HKG,Asia Pacific,Hong Kong,99,22.73
