IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.49.212.232,80,80,false,LAX,North America,Los Angeles,179,28.87
35.244.203.169,80,80,false,LAX,North America,Los Angeles,214,27.36
91.149.239.62,443,443,true,LAX,North America,Los Angeles,205,12.44
152.70.155.147,2083,2083,true,LAX,North America,Los Angeles,209,12.25
152.70.155.147,80,80,false,LAX,North America,Los Angeles,205,11.04
23.169.184.179,53763,443,true,LAX,North America,Los Angeles,181,10.16
104.167.247.188,8649,443,true,LAX,North America,Los Angeles,173,9.72
34.16.165.48,443,443,true,LAX,North America,Los Angeles,246,8.95
23.169.184.120,26580,443,true,LAX,North America,Los Angeles,178,8.74
152.70.155.147,2087,2087,true,LAX,North America,Los Angeles,201,7.85
154.9.251.210,34237,2096,true,LAX,North America,Los Angeles,217,7.76
152.70.155.147,2052,2052,false,LAX,North America,Los Angeles,201,7.40
156.251.189.154,8443,443,true,LAX,North America,Los Angeles,190,7.26
38.49.38.178,443,443,true,LAX,North America,Los Angeles,173,7.10
154.9.230.87,34237,2096,true,LAX,North America,Los Angeles,196,7.03
154.23.244.23,39777,443,true,LAX,North America,Los Angeles,176,6.87
152.70.155.147,2095,2095,false,LAX,North America,Los Angeles,206,6.57
34.117.254.68,80,80,false,LAX,North America,Los Angeles,206,6.23
23.166.168.8,42126,443,true,LAX,North America,Los Angeles,177,5.89
154.29.144.83,12317,2095,false,LAX,North America,Los Angeles,202,5.57
23.224.81.196,40761,443,true,LAX,North America,Los Angeles,182,5.08
129.146.248.140,443,443,true,LAX,North America,Los Angeles,198,4.82
152.70.155.147,8080,8080,false,LAX,North America,Los Angeles,210,4.67
34.94.153.2,8443,443,true,LAX,North America,Los Angeles,208,4.60
103.79.79.192,443,443,true,LAX,North America,Los Angeles,191,3.82
104.167.247.117,40151,443,true,LAX,North America,Los Angeles,181,3.69
206.119.79.211,55892,443,true,LAX,North America,Los Angeles,169,3.63
154.23.247.116,443,443,true,LAX,North America,Los Angeles,169,3.62
2.56.255.97,34237,2096,true,LAX,North America,Los Angeles,310,3.44
154.7.183.12,58623,443,true,LAX,North America,Los Angeles,221,3.10
185.183.84.237,14395,443,true,LAX,North America,Los Angeles,181,3.09
104.167.247.149,80,80,false,LAX,North America,Los Angeles,171,2.99
45.140.88.163,22593,443,true,LAX,North America,Los Angeles,195,2.73
2.59.151.128,33557,443,true,LAX,North America,Los Angeles,235,2.63
23.224.141.167,26578,443,true,LAX,North America,Los Angeles,173,1.86
103.94.185.7,35586,443,true,LAX,North America,Los Angeles,217,1.72
149.88.88.55,24902,443,true,LAX,North America,Los Angeles,182,1.47
23.166.168.67,13117,443,true,LAX,North America,Los Angeles,177,1.11
202.91.35.102,27911,443,true,LAX,North America,Los Angeles,177,1.09
129.146.242.24,2053,443,true,LAX,North America,Los Angeles,204,0.70
23.225.14.184,26084,443,true,LAX,North America,Los Angeles,210,0.54
154.39.79.251,10880,443,true,LAX,North America,Los Angeles,169,0.15
216.38.168.34,16384,443,true,LAX,North America,Los Angeles,307,0.13
152.70.155.147,8443,8443,true,LAX,North America,Los Angeles,220,0.11
103.14.35.56,443,443,true,LAX,North America,Los Angeles,246,0.06
38.47.239.164,48348,80,false,LAX,North America,Los Angeles,187,0.03
38.181.42.216,7744,80,false,LAX,North America,Los Angeles,172,0.00
118.26.39.145,80,80,false,LAX,North America,Los Angeles,490,0.00
101.36.119.145,80,80,false,LAX,North America,Los Angeles,490,0.00
129.146.2.27,443,443,true,LAX,North America,Los Angeles,191,0.00
