IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
103.20.199.88,30002,80,false,NRT,Asia Pacific,Tokyo,83,28.50
8.219.66.156,2095,2095,false,NRT,Asia Pacific,Tokyo,148,17.25
47.236.125.62,2096,2096,true,NRT,Asia Pacific,Tokyo,203,17.17
131.186.33.175,443,443,true,NRT,Asia Pacific,Tokyo,116,16.46
158.179.176.224,8443,443,true,NRT,Asia Pacific,Tokyo,112,14.41
185.184.223.19,59775,443,true,NRT,Asia Pacific,Tokyo,106,14.38
141.98.197.101,11665,443,true,NRT,Asia Pacific,Tokyo,104,14.26
8.219.153.237,2086,2086,false,NRT,Asia Pacific,Tokyo,184,13.22
45.159.51.218,25068,443,true,NRT,Asia Pacific,Tokyo,116,13.17
109.107.137.22,44004,443,true,NRT,Asia Pacific,Tokyo,105,12.03
8.219.66.156,8880,8880,false,NRT,Asia Pacific,Tokyo,141,11.86
8.219.153.237,80,80,false,NRT,Asia Pacific,Tokyo,185,10.72
172.93.220.153,12345,80,false,NRT,Asia Pacific,Tokyo,109,10.63
103.20.199.118,12999,443,true,NRT,Asia Pacific,Tokyo,83,10.61
45.66.129.222,16538,443,true,NRT,Asia Pacific,Tokyo,109,10.26
103.20.199.196,54678,443,true,NRT,Asia Pacific,Tokyo,83,9.37
35.200.25.49,2087,443,true,NRT,Asia Pacific,Tokyo,181,8.61
8.219.153.237,8443,8443,true,NRT,Asia Pacific,Tokyo,181,8.56
8.219.66.156,2052,2052,false,NRT,Asia Pacific,Tokyo,143,8.24
54.249.135.43,443,443,true,NRT,Asia Pacific,Tokyo,88,7.62
8.219.66.156,2053,2053,true,NRT,Asia Pacific,Tokyo,144,7.19
8.219.66.156,2086,2086,false,NRT,Asia Pacific,Tokyo,140,6.96
3.112.21.102,443,443,true,NRT,Asia Pacific,Tokyo,78,6.35
47.236.125.62,8443,8443,true,NRT,Asia Pacific,Tokyo,196,6.34
8.219.153.237,2087,2087,true,NRT,Asia Pacific,Tokyo,191,6.13
60.205.0.210,80,80,false,NRT,Asia Pacific,Tokyo,59,6.10
8.219.66.156,2087,2087,true,NRT,Asia Pacific,Tokyo,151,5.35
47.236.125.62,2083,2083,true,NRT,Asia Pacific,Tokyo,198,5.26
8.219.66.156,8443,8443,true,NRT,Asia Pacific,Tokyo,144,4.85
138.3.222.33,443,443,true,NRT,Asia Pacific,Tokyo,103,4.57
138.2.18.184,80,80,false,NRT,Asia Pacific,Tokyo,115,4.43
8.219.66.156,2083,2083,true,NRT,Asia Pacific,Tokyo,150,4.40
47.236.125.62,2052,2052,false,NRT,Asia Pacific,Tokyo,193,4.31
47.236.125.62,80,80,false,NRT,Asia Pacific,Tokyo,203,4.28
52.192.240.157,443,443,true,NRT,Asia Pacific,Tokyo,82,4.04
47.236.125.62,8880,8880,false,NRT,Asia Pacific,Tokyo,185,4.02
47.74.4.97,443,443,true,NRT,Asia Pacific,Tokyo,112,3.84
47.236.125.62,2082,2082,false,NRT,Asia Pacific,Tokyo,191,3.82
3.113.64.82,443,443,true,NRT,Asia Pacific,Tokyo,76,3.78
8.219.66.156,2082,2082,false,NRT,Asia Pacific,Tokyo,134,3.68
47.236.125.62,2053,2053,true,NRT,Asia Pacific,Tokyo,198,3.62
47.236.125.62,8080,8080,false,NRT,Asia Pacific,Tokyo,188,3.58
8.219.66.156,2096,2096,true,NRT,Asia Pacific,Tokyo,142,3.46
8.219.66.156,8080,8080,false,NRT,Asia Pacific,Tokyo,144,2.78
8.219.153.237,2053,2053,true,NRT,Asia Pacific,Tokyo,192,2.32
8.219.153.237,2052,2052,false,NRT,Asia Pacific,Tokyo,189,2.11
47.236.125.62,2086,2086,false,NRT,Asia Pacific,Tokyo,200,1.95
8.219.153.237,2083,2083,true,NRT,Asia Pacific,Tokyo,188,1.56
45.60.186.91,2082,2082,false,YVR,North America,Vancouver,192,0.19
45.60.186.91,443,443,true,YVR,North America,Vancouver,184,0.19
45.76.198.248,443,443,true,NRT,Asia Pacific,Tokyo,274,0.14
101.36.113.25,52080,80,false,NRT,Asia Pacific,Tokyo,82,0.00
45.142.166.55,22387,80,false,NRT,Asia Pacific,Tokyo,106,0.00
101.36.113.25,58081,80,false,NRT,Asia Pacific,Tokyo,75,0.00
45.159.48.14,19809,80,false,NRT,Asia Pacific,Tokyo,103,0.00
154.12.191.87,30810,80,false,NRT,Asia Pacific,Tokyo,96,0.00
103.118.243.162,44334,443,true,NRT,Asia Pacific,Tokyo,303,0.00
