IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.237.121.38,2082,2082,false,SIN,Asia Pacific,Singapore,94,32.18
8.222.191.138,2086,2086,false,SIN,Asia Pacific,Singapore,102,32.00
47.237.11.182,80,80,false,SIN,Asia Pacific,Singapore,84,31.36
8.219.78.188,8080,8080,false,SIN,Asia Pacific,Singapore,90,29.29
8.219.110.81,2087,2087,true,SIN,Asia Pacific,Singapore,83,28.83
8.219.1.92,2052,2052,false,SIN,Asia Pacific,Singapore,77,26.99
8.219.42.72,2083,2083,true,SIN,Asia Pacific,Singapore,94,26.39
8.219.78.188,2095,2095,false,SIN,Asia Pacific,Singapore,83,26.28
8.219.104.37,2053,2053,true,SIN,Asia Pacific,Singapore,89,22.86
8.219.174.142,2096,2096,true,SIN,Asia Pacific,Singapore,125,22.42
8.219.122.55,2082,2082,false,SIN,Asia Pacific,Singapore,98,22.39
47.237.82.15,8080,8080,false,SIN,Asia Pacific,Singapore,91,22.34
8.222.165.117,2082,2082,false,SIN,Asia Pacific,Singapore,99,22.21
8.219.111.147,8080,8080,false,SIN,Asia Pacific,Singapore,103,22.19
47.236.102.102,2082,2082,false,SIN,Asia Pacific,Singapore,140,21.87
8.222.165.117,2087,2087,true,SIN,Asia Pacific,Singapore,82,21.83
8.219.97.50,80,80,false,SIN,Asia Pacific,Singapore,91,21.49
8.219.104.37,2052,2052,false,SIN,Asia Pacific,Singapore,75,21.21
8.219.67.133,2082,2082,false,SIN,Asia Pacific,Singapore,75,20.93
8.219.114.201,8880,8880,false,SIN,Asia Pacific,Singapore,81,20.69
8.222.156.242,2096,2096,true,SIN,Asia Pacific,Singapore,84,20.46
8.219.60.54,2086,2086,false,SIN,Asia Pacific,Singapore,61,20.11
8.219.106.156,2086,2086,false,SIN,Asia Pacific,Singapore,96,20.10
47.237.86.185,8080,8080,false,SIN,Asia Pacific,Singapore,91,19.84
8.219.0.48,2053,2053,true,SIN,Asia Pacific,Singapore,76,19.30
8.222.144.50,2086,2086,false,SIN,Asia Pacific,Singapore,100,19.08
8.219.51.211,2052,2052,false,SIN,Asia Pacific,Singapore,77,18.94
47.236.171.205,2052,2052,false,SIN,Asia Pacific,Singapore,134,18.78
8.219.0.162,2053,2053,true,SIN,Asia Pacific,Singapore,86,18.74
8.219.0.48,80,80,false,SIN,Asia Pacific,Singapore,99,18.53
8.219.49.65,2052,2052,false,SIN,Asia Pacific,Singapore,108,18.35
47.236.146.249,2087,2087,true,SIN,Asia Pacific,Singapore,127,18.30
8.219.40.37,2053,2053,true,SIN,Asia Pacific,Singapore,101,18.28
8.222.208.38,2096,2096,true,SIN,Asia Pacific,Singapore,103,18.24
8.222.187.4,2053,2053,true,SIN,Asia Pacific,Singapore,86,18.13
8.222.183.242,2053,2053,true,SIN,Asia Pacific,Singapore,79,17.93
8.222.134.170,2082,2082,false,SIN,Asia Pacific,Singapore,88,17.93
8.219.1.92,2086,2086,false,SIN,Asia Pacific,Singapore,73,17.63
8.219.163.195,2087,2087,true,SIN,Asia Pacific,Singapore,133,17.34
47.237.0.31,2082,2082,false,SIN,Asia Pacific,Singapore,90,17.25
8.219.110.81,2086,2086,false,SIN,Asia Pacific,Singapore,91,17.12
47.237.82.15,80,80,false,SIN,Asia Pacific,Singapore,86,17.09
47.237.125.8,2052,2052,false,SIN,Asia Pacific,Singapore,62,17.08
47.237.95.156,8880,8880,false,SIN,Asia Pacific,Singapore,79,17.00
47.236.169.15,2086,2086,false,SIN,Asia Pacific,Singapore,131,17.00
8.219.11.158,80,80,false,SIN,Asia Pacific,Singapore,83,16.55
47.236.205.188,2086,2086,false,SIN,Asia Pacific,Singapore,130,16.40
47.236.189.92,8443,8443,true,SIN,Asia Pacific,Singapore,130,16.38
47.236.17.193,80,80,false,SIN,Asia Pacific,Singapore,111,16.37
47.236.253.41,2087,2087,true,SIN,Asia Pacific,Singapore,147,16.36
8.219.50.180,2053,2053,true,SIN,Asia Pacific,Singapore,57,16.33
8.222.193.65,2086,2086,false,SIN,Asia Pacific,Singapore,91,16.28
47.237.83.20,80,80,false,SIN,Asia Pacific,Singapore,98,16.20
8.219.0.48,2082,2082,false,SIN,Asia Pacific,Singapore,82,16.20
47.236.202.91,2086,2086,false,SIN,Asia Pacific,Singapore,157,16.12
47.236.171.205,8080,8080,false,SIN,Asia Pacific,Singapore,133,16.07
47.237.11.182,2086,2086,false,SIN,Asia Pacific,Singapore,101,15.90
47.237.125.8,2082,2082,false,SIN,Asia Pacific,Singapore,81,15.88
8.222.137.192,2083,2083,true,SIN,Asia Pacific,Singapore,89,15.84
47.236.254.120,8080,8080,false,SIN,Asia Pacific,Singapore,112,15.74
8.219.78.188,2052,2052,false,SIN,Asia Pacific,Singapore,94,15.63
47.237.95.156,2095,2095,false,SIN,Asia Pacific,Singapore,77,15.57
8.222.169.222,2053,2053,true,SIN,Asia Pacific,Singapore,73,15.57
47.237.82.15,2086,2086,false,SIN,Asia Pacific,Singapore,89,15.56
8.219.100.168,2095,2095,false,SIN,Asia Pacific,Singapore,101,15.46
8.219.51.211,2082,2082,false,SIN,Asia Pacific,Singapore,94,15.38
8.219.220.88,2086,2086,false,SIN,Asia Pacific,Singapore,126,15.36
8.222.181.117,2087,2087,true,SIN,Asia Pacific,Singapore,81,15.13
8.219.120.87,80,80,false,SIN,Asia Pacific,Singapore,87,15.12
8.219.222.98,2095,2095,false,SIN,Asia Pacific,Singapore,137,15.01
8.222.249.190,8080,8080,false,SIN,Asia Pacific,Singapore,71,14.98
47.236.174.206,2086,2086,false,SIN,Asia Pacific,Singapore,124,14.86
8.219.153.237,8880,8880,false,NRT,Asia Pacific,Tokyo,260,14.85
8.219.120.87,2083,2083,true,SIN,Asia Pacific,Singapore,97,14.82
8.219.122.55,2087,2087,true,SIN,Asia Pacific,Singapore,97,14.78
8.219.87.30,2052,2052,false,SIN,Asia Pacific,Singapore,98,14.73
8.219.0.48,8443,8443,true,SIN,Asia Pacific,Singapore,65,14.70
8.219.93.5,80,80,false,SIN,Asia Pacific,Singapore,83,14.60
47.236.9.152,8080,8080,false,SIN,Asia Pacific,Singapore,135,14.59
47.236.169.164,2086,2086,false,SIN,Asia Pacific,Singapore,147,14.58
8.222.244.192,2086,2086,false,SIN,Asia Pacific,Singapore,90,14.56
8.222.160.176,8880,8880,false,SIN,Asia Pacific,Singapore,61,14.47
8.219.98.13,8443,8443,true,SIN,Asia Pacific,Singapore,64,14.46
8.219.248.47,8443,8443,true,SIN,Asia Pacific,Singapore,143,14.33
47.236.170.54,2086,2086,false,SIN,Asia Pacific,Singapore,122,14.33
47.237.95.156,80,80,false,SIN,Asia Pacific,Singapore,82,14.30
47.236.232.148,2082,2082,false,SIN,Asia Pacific,Singapore,115,14.26
47.236.144.48,2082,2082,false,SIN,Asia Pacific,Singapore,155,14.25
47.236.145.85,80,80,false,SIN,Asia Pacific,Singapore,124,14.21
8.219.93.5,2082,2082,false,SIN,Asia Pacific,Singapore,80,14.21
47.236.232.148,8880,8880,false,SIN,Asia Pacific,Singapore,142,14.17
47.236.118.216,8880,8880,false,SIN,Asia Pacific,Singapore,131,14.15
8.219.114.201,2086,2086,false,SIN,Asia Pacific,Singapore,91,14.05
47.236.169.15,2082,2082,false,SIN,Asia Pacific,Singapore,148,14.01
8.222.137.192,2052,2052,false,SIN,Asia Pacific,Singapore,87,13.97
47.236.167.231,8880,8880,false,SIN,Asia Pacific,Singapore,143,13.95
47.237.0.31,2095,2095,false,SIN,Asia Pacific,Singapore,101,13.95
47.237.94.140,80,80,false,SIN,Asia Pacific,Singapore,91,13.86
8.219.0.162,8880,8880,false,SIN,Asia Pacific,Singapore,93,13.83
47.237.81.112,2096,2096,true,SIN,Asia Pacific,Singapore,84,13.83
47.236.189.92,2082,2082,false,SIN,Asia Pacific,Singapore,157,13.83
47.236.165.25,80,80,false,SIN,Asia Pacific,Singapore,126,13.74
8.219.120.87,2053,2053,true,SIN,Asia Pacific,Singapore,97,13.70
47.236.149.107,2082,2082,false,SIN,Asia Pacific,Singapore,127,13.68
47.237.121.38,2086,2086,false,SIN,Asia Pacific,Singapore,98,13.65
8.219.49.65,80,80,false,SIN,Asia Pacific,Singapore,98,13.62
8.222.146.222,2095,2095,false,SIN,Asia Pacific,Singapore,66,13.60
8.219.161.129,2083,2083,true,SIN,Asia Pacific,Singapore,126,13.59
47.236.167.231,2053,2053,true,SIN,Asia Pacific,Singapore,127,13.52
47.236.117.48,2052,2052,false,SIN,Asia Pacific,Singapore,145,13.51
8.219.126.240,8080,8080,false,SIN,Asia Pacific,Singapore,69,13.51
8.219.60.54,8880,8880,false,SIN,Asia Pacific,Singapore,82,13.48
47.236.9.152,80,80,false,SIN,Asia Pacific,Singapore,118,13.46
8.219.49.65,8443,8443,true,SIN,Asia Pacific,Singapore,83,13.44
47.236.10.100,2095,2095,false,SIN,Asia Pacific,Singapore,145,13.36
8.219.237.250,2095,2095,false,SIN,Asia Pacific,Singapore,126,13.20
47.237.81.112,2082,2082,false,SIN,Asia Pacific,Singapore,91,13.19
8.222.167.147,2095,2095,false,SIN,Asia Pacific,Singapore,80,13.15
8.219.117.198,2052,2052,false,SIN,Asia Pacific,Singapore,86,13.13
47.236.145.85,2082,2082,false,SIN,Asia Pacific,Singapore,111,13.11
47.245.96.80,2053,2053,true,SIN,Asia Pacific,Singapore,217,13.04
47.237.0.31,2052,2052,false,SIN,Asia Pacific,Singapore,91,12.97
47.236.146.249,2052,2052,false,SIN,Asia Pacific,Singapore,131,12.94
8.219.104.37,2082,2082,false,SIN,Asia Pacific,Singapore,73,12.92
8.222.208.38,8880,8880,false,SIN,Asia Pacific,Singapore,83,12.88
8.219.163.195,8080,8080,false,SIN,Asia Pacific,Singapore,141,12.86
8.219.78.1,8880,8880,false,SIN,Asia Pacific,Singapore,99,12.86
47.237.121.38,8080,8080,false,SIN,Asia Pacific,Singapore,98,12.85
47.236.170.225,8443,8443,true,SIN,Asia Pacific,Singapore,131,12.74
8.222.134.170,2052,2052,false,SIN,Asia Pacific,Singapore,67,12.72
8.219.51.211,8080,8080,false,SIN,Asia Pacific,Singapore,91,12.72
8.219.6.150,2096,2096,true,SIN,Asia Pacific,Singapore,89,12.69
47.236.169.141,2082,2082,false,SIN,Asia Pacific,Singapore,145,12.69
47.236.123.133,2086,2086,false,SIN,Asia Pacific,Singapore,126,12.68
8.219.177.205,2053,2053,true,SIN,Asia Pacific,Singapore,147,12.67
47.236.166.131,8880,8880,false,SIN,Asia Pacific,Singapore,145,12.65
8.219.117.198,80,80,false,SIN,Asia Pacific,Singapore,81,12.52
8.219.87.30,8880,8880,false,SIN,Asia Pacific,Singapore,110,12.52
8.219.49.65,2096,2096,true,SIN,Asia Pacific,Singapore,91,12.49
47.236.125.62,2087,2087,true,SIN,Asia Pacific,Singapore,135,12.42
8.219.4.122,2095,2095,false,SIN,Asia Pacific,Singapore,83,12.42
